"Rank","Player","Position","Position Rank","ADP on April 29","ADP on July 12","ADP Change"
1,"Ja'Marr Chase","WR","WR1",1.1,1.1,0
2,"Justin Jefferson","WR","WR2",3.7,2.8,-0.9
3,"Bijan Robinson","RB","RB1",3.7,3.1,-0.6
4,"Saquon Barkley","RB","RB2",2.5,4.1,1.6
5,"CeeDee Lamb","WR","WR3",5.3,4.8,-0.5
6,"Jahmyr Gibbs","RB","RB3",5.4,5.6,0.2
7,"Puka Nacua","WR","WR4",8,7.8,-0.2
8,"Christian McCaffrey","RB","RB4",13.4,7.9,-5.5
9,"Malik Nabers","WR","WR5",9.2,9.4,0.2
10,"Nico Collins","WR","WR6",9.4,10.3,0.9
11,"Ashton Jeanty","RB","RB5",9.7,11.9,2.2
12,"Amon-Ra St. Brown","WR","WR7",10.8,12,1.2
13,"Brian Thomas","WR","WR8",10.9,13.3,2.4
14,"Derrick Henry","RB","RB6",15.7,14.2,-1.5
15,"De'Von Achane","RB","RB7",17.8,14.3,-3.5
16,"Drake London","WR","WR9",16,15.9,-0.1
17,"A.J. Brown","WR","WR10",17.4,17.3,-0.1
18,"Ladd McConkey","WR","WR11",18.8,18.7,-0.1
19,"Brock Bowers","TE","TE1",14.3,19.2,4.9
20,"Jonathan Taylor","RB","RB8",21,21.2,0.2
21,"Rashee Rice","WR","WR12",37.2,21.3,-15.9
22,"Bucky Irving","RB","RB9",22.7,21.9,-0.8
23,"Tyreek Hill","WR","WR13",24.6,23,-1.6
24,"Tee Higgins","WR","WR14",23.5,25.1,1.6
25,"Josh Jacobs","RB","RB10",26.1,25.3,-0.8
26,"Trey McBride","TE","TE2",21.2,26.7,5.5
27,"Chase Brown","RB","RB11",33.3,27.6,-5.7
28,"Marvin Harrison","WR","WR15",29.4,27.7,-1.7
29,"Garrett Wilson","WR","WR16",26.8,29,2.2
30,"Davante Adams","WR","WR17",34,30.3,-3.7
31,"Josh Allen","QB","QB1",33.3,32.1,-1.2
32,"Terry McLaurin","WR","WR18",28.9,32.1,3.2
33,"Jaxon Smith-Njigba","WR","WR19",26,32.7,6.7
34,"Lamar Jackson","QB","QB2",36.1,34,-2.1
35,"Breece Hall","RB","RB12",37.4,34.1,-3.3
36,"Kyren Williams","RB","RB13",30.9,34.7,3.8
37,"Mike Evans","WR","WR20",35,36.8,1.8
38,"Jayden Daniels","QB","QB3",40.8,39,-1.8
39,"George Kittle","TE","TE3",50.5,40.3,-10.2
40,"Tetairoa McMillan","WR","WR21",44.2,40.6,-3.6
41,"D.J. Moore","WR","WR22",31.2,42,10.8
42,"James Cook","RB","RB14",42.2,43.1,0.9
43,"Omarion Hampton","RB","RB15",40.1,43.2,3.1
44,"DK Metcalf","WR","WR23",52.6,43.8,-8.8
45,"Jalen Hurts","QB","QB4",48.5,45.5,-3
46,"Xavier Worthy","WR","WR24",37.7,45.7,8
47,"Jameson Williams","WR","WR25",45.4,46.2,0.8
48,"DeVonta Smith","WR","WR26",43.5,48.2,4.7
49,"Courtland Sutton","WR","WR27",51.4,48.9,-2.5
50,"George Pickens","WR","WR28",75.3,50.3,-25
51,"Chuba Hubbard","RB","RB16",58.8,51.6,-7.2
52,"Jaylen Waddle","WR","WR29",57.1,52.8,-4.3
53,"Kenneth Walker III","RB","RB17",61.5,53.9,-7.6
54,"Travis Hunter","WR","WR30",50.7,54.4,3.7
55,"Zay Flowers","WR","WR31",46.5,54.9,8.4
56,"Calvin Ridley","WR","WR32",59.8,55.7,-4.1
57,"Alvin Kamara","RB","RB18",63.6,56.2,-7.4
58,"Joe Mixon","RB","RB19",53,57.8,4.8
59,"Rome Odunze","WR","WR33",50.1,60.3,10.2
60,"Joe Burrow","QB","QB5",49.6,61.1,11.5
61,"Jauan Jennings","WR","WR34",64.6,61.4,-3.2
62,"James Conner","RB","RB20",70.1,62.9,-7.2
63,"RJ Harvey","RB","RB21",74.4,63,-11.4
64,"Chris Olave","WR","WR35",60.8,64.1,3.3
65,"TreVeyon Henderson","RB","RB22",55.7,64.5,8.8
66,"Jordan Addison","WR","WR36",57,66,9
67,"Chris Godwin","WR","WR37",58.8,67.5,8.7
68,"Jerry Jeudy","WR","WR38",67.1,68.7,1.6
69,"Deebo Samuel","WR","WR39",64,70.1,6.1
70,"David Montgomery","RB","RB23",70.1,70.9,0.8
71,"Jakobi Meyers","WR","WR40",74.5,71.8,-2.7
72,"Kaleb Johnson","RB","RB24",76.9,71.9,-5
73,"Quinshon Judkins","RB","RB25",68.2,73.8,5.6
74,"D'Andre Swift","RB","RB26",106.4,73.9,-32.5
75,"Ricky Pearsall","WR","WR41",73.2,74.5,1.3
76,"Sam LaPorta","TE","TE4",66.4,75.3,8.9
77,"Isiah Pacheco","RB","RB27",109.4,77.6,-31.8
78,"Matthew Golden","WR","WR42",75.2,78,2.8
79,"Jayden Reed","WR","WR43",74.7,79.1,4.4
80,"Stefon Diggs","WR","WR44",80.3,80.3,0
81,"Khalil Shakir","WR","WR45",79.4,80.4,1
82,"Tony Pollard","RB","RB28",85.2,83,-2.2
83,"Josh Downs","WR","WR46",93.2,83.8,-9.4
84,"Patrick Mahomes","QB","QB6",78.9,84.1,5.2
85,"Aaron Jones","RB","RB29",84.7,84.4,-0.3
86,"Darnell Mooney","WR","WR47",94.9,86.5,-8.4
87,"Brian Robinson Jr.","RB","RB30",110.1,87.6,-22.5
88,"Emeka Egbuka","WR","WR48",83.5,87.9,4.4
89,"T.J. Hockenson","TE","TE5",85.8,88.7,2.9
90,"Brandon Aiyuk","WR","WR49",84.9,91.1,6.2
91,"Michael Pittman Jr.","WR","WR50",110.3,92.2,-18.1
92,"Jordan Mason","RB","RB31",110.3,93.1,-17.2
93,"Baker Mayfield","QB","QB7",88.2,93.7,5.5
94,"Cooper Kupp","WR","WR51",90.2,95.2,5
95,"Kyler Murray","QB","QB8",94.1,95.7,1.6
96,"Jayden Higgins","WR","WR52",113.2,96.5,-16.7
97,"Jaylen Warren","RB","RB32",95.5,97.7,2.2
98,"Travis Etienne Jr.","RB","RB33",115.1,97.9,-17.2
99,"Bo Nix","QB","QB9",94.5,98.7,4.2
100,"Travis Kelce","TE","TE6",104.7,99.1,-5.6
101,"Justin Fields","QB","QB10",101.9,100.7,-1.2
102,"Keon Coleman","WR","WR53",121.5,102.6,-18.9
103,"Brock Purdy","QB","QB11",104,103.4,-0.6
104,"Tyrone Tracy","RB","RB34",87.1,104.1,17
105,"Mark Andrews","TE","TE7",106.2,106.2,0
106,"Tre Harris","WR","WR54",120.5,106.2,-14.3
107,"Rashid Shaheed","WR","WR55",113.7,107.4,-6.3
108,"Evan Engram","TE","TE8",115.9,107.7,-8.2
109,"Caleb Williams","QB","QB12",93.9,109.3,15.4
110,"Cam Skattebo","RB","RB35",101.8,110.6,8.8
111,"Rashod Bateman","WR","WR56",120.1,111.4,-8.7
112,"Dak Prescott","QB","QB13",129.7,112.1,-17.6
113,"Najee Harris","RB","RB36",82.5,113.8,31.3
114,"Zach Charbonnet","RB","RB37",113.1,115.1,2
115,"J.K. Dobbins","RB","RB38",178.3,115.3,-63
116,"Drake Maye","QB","QB14",116.9,115.6,-1.3
117,"Luther Burden","WR","WR57",84.8,117,32.2
118,"Jared Goff","QB","QB15",103.7,118,14.3
119,"Tyler Warren","TE","TE9",105.9,118.7,12.8
120,"Rhamondre Stevenson","RB","RB39",112.8,120.8,8
121,"David Njoku","TE","TE10",124.5,121.3,-3.2
122,"J.J. McCarthy","QB","QB16",132.3,122.7,-9.6
123,"Christian Kirk","WR","WR58",104.7,123.9,19.2
124,"Justin Herbert","QB","QB17",116.4,124.6,8.2
125,"Tucker Kraft","TE","TE11",127,125.4,-1.6
126,"Tyjae Spears","RB","RB40",139.9,125.4,-14.5
127,"Javonte Williams","RB","RB41",138.7,127.5,-11.2
128,"Jordan Love","QB","QB18",123,127.5,4.5
129,"Marvin Mims Jr.","WR","WR59",115.8,128.5,12.7
130,"Colston Loveland","TE","TE12",116.9,129.7,12.8
131,"Kyle Williams","WR","WR60",143.2,132.3,-10.9
132,"Bhayshul Tuten","RB","RB42",125.8,132.7,6.9
133,"Trevor Lawrence","QB","QB19",131.6,132.9,1.3
134,"C.J. Stroud","QB","QB20",129,134,5
135,"Ray Davis","RB","RB43",153.9,134.1,-19.8
136,"Hollywood Brown","WR","WR61",128.3,135.8,7.5
137,"Dalton Kincaid","TE","TE13",135.9,136.8,0.9
138,"Trey Benson","RB","RB44",143.4,138.6,-4.8
139,"Dallas Goedert","TE","TE14",147.4,139,-8.4
140,"Rachaad White","RB","RB45",159.9,140.6,-19.3
141,"Isaiah Likely","TE","TE15",135.3,140.9,5.6
142,"Michael Penix","QB","QB21",140.9,142.9,2
143,"Isaac Guerendo","RB","RB46",147.3,143,-4.3
144,"Jake Ferguson","TE","TE16",142.1,143.5,1.4
145,"Cedric Tillman","WR","WR62",163.9,144.3,-19.6
146,"Quentin Johnston","WR","WR63",144,145.8,1.8
147,"Jaydon Blue","RB","RB47",173.1,148,-25.1
148,"Xavier Legette","WR","WR64",147.6,148.6,1
149,"Tua Tagovailoa","QB","QB22",148.9,149.6,0.7
150,"Tyler Allgeier","RB","RB48",164.5,151.5,-13
